n,gamma,k,seed,model,supportSize,exactValue,algValue,ratio,gap,theoryBound,exactTime,algTime
12,0.5,6,5,CVaR-CR-SHP,1,519.065370311743,519.065370311743,1,0,0.5,0.0506882,8.94e-05
12,0.5,6,6,CR-SHP,25,545.372335001308,544.701073323332,0.998769168080419,0.00123083191958108,0.5,0.0740921,0.0001429
12,0.5,6,6,CVaR-CR-SHP,1,484.872856089092,484.872856089092,1,0,0.5,0.0503168,7.06e-05
12,0.5,6,7,CR-SHP,25,553.764285199369,553.764285199369,1,0,0.5,0.0765562,0.0001962
12,0.5,6,7,CVaR-CR-SHP,1,498.356702280162,498.356702280162,1,0,0.5,0.0481975,0.0002898
12,0.5,6,8,CR-SHP,25,556.138451312338,555.994543481657,0.999741237401692,0.000258762598307707,0.5,0.0815765,0.000471
12,0.5,6,8,CVaR-CR-SHP,1,502.829973753367,502.829973753367,1,0,0.5,0.0503647,8.05e-05
12,0.8,9,1,CR-SHP,25,684.698165051931,678.577795737255,0.991061215544207,0.0089387844557928,0.75,0.1323887,0.0001393
12,0.8,9,1,CVaR-CR-SHP,1,637.013559061999,637.013559061999,1,0,0.75,0.0633375,7.57e-05
12,0.8,9,2,CR-SHP,25,694.028604870256,691.280132775022,0.996039828796758,0.00396017120324233,0.75,0.1232793,0.0001508
12,0.8,9,2,CVaR-CR-SHP,1,641.480209437573,641.480209437573,1,0,0.75,0.0652993,7.02e-05
12,0.8,9,3,CR-SHP,25,717.472145552598,717.472145552598,1,0,0.75,0.120422,0.0001759
12,0.8,9,3,CVaR-CR-SHP,1,656.599523151386,656.599523151386,1,0,0.75,0.0630127,7.42e-05
12,0.8,9,4,CR-SHP,25,787.17182562589,787.17182562589,1,0,0.75,0.1280458,0.0001756
12,0.8,9,4,CVaR-CR-SHP,1,738.088186964984,738.088186964984,1,0,0.75,0.0623288,7.01e-05
12,0.8,9,5,CR-SHP,25,757.955652000088,750.599998556816,0.99029540392784,0.00970459607216032,0.75,0.1257566,0.0001741
12,0.8,9,5,CVaR-CR-SHP,1,704.505056086819,704.505056086819,1,0,0.75,0.066621,7.43e-05
12,0.8,9,6,CR-SHP,25,749.86933229331,747.761229934595,0.997188707061446,0.00281129293855372,0.75,0.1259268,0.0001703
12,0.8,9,6,CVaR-CR-SHP,1,690.34254230147,690.34254230147,1,0,0.75,0.0655675,0.0001501
12,0.8,9,7,CR-SHP,25,766.269093598441,765.692650884713,0.999247728091158,0.000752271908842018,0.75,0.1311212,0.0001565
12,0.8,9,7,CVaR-CR-SHP,1,712.390967223837,712.390967223837,1,0,0.75,0.0616179,8.8e-05
12,0.8,9,8,CR-SHP,25,771.877969009731,771.142572634883,0.999047263421974,0.000952736578025932,0.75,0.1226117,0.0001694
12,0.8,9,8,CVaR-CR-SHP,1,721.774916129352,721.774916129352,1,0,0.75,0.0634229,8.63e-05
14,0.2,2,1,CR-SHP,29,204.586248992207,204.586248992207,1,0,0.5,0.1253763,0.0001732
14,0.2,2,1,CVaR-CR-SHP,1,168.408261644169,168.408261644169,1,0,0.5,0.1304125,8.04e-05
14,0.2,2,2,CR-SHP,29,190.675109367335,190.675109367335,1,0,0.5,0.1307176,0.0001526
14,0.2,2,2,CVaR-CR-SHP,1,162.423104075006,162.423104075006,1,0,0.5,0.1303921,8.09e-05
14,0.2,2,3,CR-SHP,29,208.299151931166,208.299151931166,1,0,0.5,0.1252778,0.0002026
14,0.2,2,3,CVaR-CR-SHP,1,177.904754326252,177.904754326252,1,0,0.5,0.1371865,8.44e-05
14,0.2,2,4,CR-SHP,29,222.550467947947,222.550467947947,1,0,0.5,0.1278237,0.0002019
14,0.2,2,4,CVaR-CR-SHP,1,192.461287235544,192.461287235544,1,0,0.5,0.1272433,8.25e-05
14,0.2,2,5,CR-SHP,29,207.460908910279,207.460908910279,1,0,0.5,0.1286034,0.0001507
14,0.2,2,5,CVaR-CR-SHP,1,186.269610441729,186.269610441729,1,0,0.5,0.1322929,7.99e-05
14,0.2,2,6,CR-SHP,29,207.405606809042,207.405606809042,1,0,0.5,0.1411316,0.0001557
14,0.2,2,6,CVaR-CR-SHP,1,174.124953767314,174.124953767314,1,0,0.5,0.1295391,8.37e-05
14,0.2,2,7,CR-SHP,29,211.194411672686,211.194411672686,1,0,0.5,0.1316184,0.000149
14,0.2,2,7,CVaR-CR-SHP,1,178.606474517071,178.606474517071,1,0,0.5,0.1275282,8.45e-05
14,0.2,2,8,CR-SHP,29,217.293966694142,217.293966694142,1,0,0.5,0.1280654,0.0003771
14,0.2,2,8,CVaR-CR-SHP,1,181.790995381331,181.790995381331,1,0,0.5,0.1288944,8.59e-05
14,0.5,7,1,CR-SHP,29,601.092959781313,601.092959781313,1,0,0.5,0.3546554,0.0001739
14,0.5,7,1,CVaR-CR-SHP,1,508.280629860556,508.280629860556,1,0,0.5,0.2215032,7.13e-05
14,0.5,7,2,CR-SHP,29,585.197525956835,583.888758383055,0.997763545613697,0.00223645438630342,0.5,0.3387232,0.0002086
14,0.5,7,2,CVaR-CR-SHP,1,521.048192194257,521.048192194257,1,0,0.5,0.2263582,7.1e-05
14,0.5,7,3,CR-SHP,29,617.945438742002,617.945438742002,1,0,0.5,0.3402008,0.0002802
14,0.5,7,3,CVaR-CR-SHP,1,544.946221495989,544.946221495989,1,0,0.5,0.2251443,6.84e-05
14,0.5,7,4,CR-SHP,29,691.922707206797,691.922707206797,1,0,0.5,0.3409799,0.0001989
14,0.5,7,4,CVaR-CR-SHP,1,632.110944195618,632.110944195618,1,0,0.5,0.2266789,6.99e-05
14,0.5,7,5,CR-SHP,29,638.299367460891,636.212204403189,0.996730118868825,0.00326988113117487,0.5,0.3422763,0.0001697
14,0.5,7,5,CVaR-CR-SHP,1,577.342418361117,577.342418361117,1,0,0.5,0.2233328,6.9e-05
14,0.5,7,6,CR-SHP,29,639.302746001952,639.302746001952,1,0,0.5,0.3451693,0.0001659
14,0.5,7,6,CVaR-CR-SHP,1,551.308903272693,551.308903272693,1,0,0.5,0.2243483,9.22e-05
14,0.5,7,7,CR-SHP,29,633.640932630386,633.640932630386,1,0,0.5,0.3592011,0.0001875
14,0.5,7,7,CVaR-CR-SHP,1,578.014521200584,578.014521200584,1,0,0.5,0.2415121,0.0001028
14,0.5,7,8,CR-SHP,29,659.430939904653,659.430939904653,1,0,0.5,0.3419037,0.0001919
14,0.5,7,8,CVaR-CR-SHP,1,576.588543753244,576.588543753244,1,0,0.5,0.2304635,7.11e-05
14,0.8,11,1,CR-SHP,29,841.245256382356,840.917598360725,0.999610508327809,0.00038949167219115,0.785714285714286,0.5951554,0.0001861
14,0.8,11,1,CVaR-CR-SHP,1,743.016633174909,743.016633174909,1,0,0.785714285714286,0.2925593,6.88e-05
14,0.8,11,2,CR-SHP,29,838.552154007514,838.552154007514,1,0,0.785714285714286,0.5922052,0.0001747
14,0.8,11,2,CVaR-CR-SHP,1,772.065222070951,772.065222070951,1,0,0.785714285714286,0.2960028,6.67e-05
14,0.8,11,3,CR-SHP,29,867.923543021251,867.923543021251,1,0,0.785714285714286,0.5941638,0.0001718
14,0.8,11,3,CVaR-CR-SHP,1,783.323382286663,783.323382286663,1,0,0.785714285714286,0.2998283,0.0001562
14,0.8,11,4,CR-SHP,29,986.167512178321,986.167512178321,1,0,0.785714285714286,0.6012092,0.0002433
14,0.8,11,4,CVaR-CR-SHP,1,913.76528331514,913.76528331514,1,0,0.785714285714286,0.2963702,8.67e-05
14,0.8,11,5,CR-SHP,29,904.173382976648,897.661854517127,0.99279836303289,0.00720163696711023,0.785714285714286,0.5896548,0.0001864
14,0.8,11,5,CVaR-CR-SHP,1,825.667617245848,825.667617245848,1,0,0.785714285714286,0.2939642,7.06e-05
14,0.8,11,6,CR-SHP,29,909.540058491536,909.424390052102,0.999872827547997,0.00012717245200311,0.785714285714286,0.6169374,0.0001676
14,0.8,11,6,CVaR-CR-SHP,1,828.565019439114,828.565019439114,1,0,0.785714285714286,0.2971518,6.77e-05
14,0.8,11,7,CR-SHP,29,901.892295336366,899.723687851067,0.997595491727212,0.00240450827278777,0.785714285714286,0.5929717,0.000174
14,0.8,11,7,CVaR-CR-SHP,1,835.116611004095,835.116611004095,1,0,0.785714285714286,0.3009134,6.96e-05
14,0.8,11,8,CR-SHP,29,940.721026495081,940.721026495081,1,0,0.785714285714286,0.5898097,0.000188
14,0.8,11,8,CVaR-CR-SHP,1,847.34936560984,847.34936560984,1,0,0.785714285714286,0.299136,7.11e-05
16,0.2,3,1,CR-SHP,33,292.357452890911,292.357452890911,1,0,0.5,0.5911663,0.0002183
16,0.2,3,1,CVaR-CR-SHP,1,249.053609108769,249.053609108769,1,0,0.5,0.579869,7.99e-05
16,0.2,3,2,CR-SHP,33,282.485292544853,282.485292544853,1,0,0.5,0.5895894,0.0001762
16,0.2,3,2,CVaR-CR-SHP,1,244.580050398115,244.580050398115,1,0,0.5,0.5787846,0.0001001
16,0.2,3,3,CR-SHP,33,299.045559354104,299.045559354104,1,0,0.5,0.5961696,0.0001626
