n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,8,gaussian06,Nominal,3299.88455620673,3016.54002096972,1506.11365898639,1499.07637666021,1287.24985501461,0,121,1,0
60,0.5,30,8,gaussian06,CR-SHP,2770.5569907334,2996.09966183708,1698.33577820839,1695.14876561841,1504.11704892917,20.4403591326368,121,1,4
60,0.5,30,8,gaussian06,CVaR-CR-SHP,2529.91035655734,2529.91035655732,2529.91035655734,2529.91035655734,2529.91035655734,486.629664412401,121,1,30
60,0.5,30,8,gaussian06,Mixed,2605.0553956912,2788.99278289353,2371.95606480149,2369.71549650666,2314.14508534243,227.547238076187,121,1,22
60,0.5,30,8,comonotone,Nominal,3299.88455620673,2766.57872365523,1287.24985501461,1287.24985501461,1287.24985501461,5.44874405304608,121,1,0
60,0.5,30,8,comonotone,CR-SHP,2770.5569907334,2772.02746770827,1504.11704892917,1504.11704892917,1504.11704892917,0,121,1,4
60,0.5,30,8,comonotone,CVaR-CR-SHP,2529.91035655734,2529.91035655732,2529.91035655734,2529.91035655734,2529.91035655734,242.117111150957,121,1,30
60,0.5,30,8,comonotone,Mixed,2605.0553956912,2672.41331929353,2314.14508534243,2314.14508534243,2314.14508534243,99.6141484147406,121,1,22
60,0.5,30,8,t_copula06,Nominal,3299.88455620673,3038.73336174399,1514.92017666021,1505.5591421355,1287.24985501461,0,121,1,0
60,0.5,30,8,t_copula06,CR-SHP,2770.5569907334,3015.78472969363,1704.10083161254,1693.67056638817,1504.11704892917,22.9486320503588,121,1,4
60,0.5,30,8,t_copula06,CVaR-CR-SHP,2529.91035655734,2529.91035655732,2529.91035655734,2529.91035655734,2529.91035655734,508.82300518667,121,1,30
60,0.5,30,8,t_copula06,Mixed,2605.0553956912,2799.82266250217,2378.04801646304,2375.34117428878,2314.14508534243,238.910699241813,121,1,22
60,0.5,30,8,adverse,Nominal,3299.88455620673,2766.33021059086,1287.24985501461,1287.24985501461,1287.24985501461,4.22678014253825,121,1,0
60,0.5,30,8,adverse,CR-SHP,2770.5569907334,2770.5569907334,1504.11704892917,1504.11704892917,1504.11704892917,0,121,1,4
60,0.5,30,8,adverse,CVaR-CR-SHP,2529.91035655734,2529.91035655734,2529.91035655734,2529.91035655734,2529.91035655734,240.646634176057,121,1,30
60,0.5,30,8,adverse,Mixed,2605.0553956912,2665.53800450463,2314.14508534243,2314.14508534243,2314.14508534243,105.018986228773,121,1,22
100,0.2,20,1,independent,Nominal,2689.78113720037,2687.02558842076,2540.00528057168,2550.21523042273,2398.75005015648,0,201,1,0
100,0.2,20,1,independent,CR-SHP,2095.60727024717,2687.02558842076,2540.00528057168,2550.21523042273,2398.75005015648,0,201,1,0
100,0.2,20,1,independent,CVaR-CR-SHP,1837.52970029379,1837.52970029384,1837.52970029379,1837.52970029379,1837.52970029379,849.495888126922,201,1,20
100,0.2,20,1,independent,Mixed,1980.46821455036,2507.64792786181,2388.65953569259,2395.25926684222,2280.4715347675,179.377660558951,201,1,6
100,0.2,20,1,gaussian06,Nominal,2689.78113720037,2418.57654438369,1362.06079121706,1354.10823710804,1203.23393554188,0,201,1,0
100,0.2,20,1,gaussian06,CR-SHP,2095.60727024717,2418.57654438369,1362.06079121706,1354.10823710804,1203.23393554188,0,201,1,0
100,0.2,20,1,gaussian06,CVaR-CR-SHP,1837.52970029379,1837.52970029384,1837.52970029379,1837.52970029379,1837.52970029379,581.046844089852,201,1,20
100,0.2,20,1,gaussian06,Mixed,1980.46821455036,2317.29265095388,1566.93093761846,1563.84946797628,1450.52916649199,101.283893429814,201,1,6
100,0.2,20,1,comonotone,Nominal,2689.78113720037,2116.22307857606,1203.23393554188,1203.23393554188,1203.23393554188,0,201,1,0
100,0.2,20,1,comonotone,CR-SHP,2095.60727024717,2116.22307857606,1203.23393554188,1203.23393554188,1203.23393554188,0,201,1,0
100,0.2,20,1,comonotone,CVaR-CR-SHP,1837.52970029379,1837.52970029384,1837.52970029379,1837.52970029379,1837.52970029379,278.69337828222,201,1,20
100,0.2,20,1,comonotone,Mixed,1980.46821455036,2079.68167385545,1450.52916649199,1450.52916649199,1450.52916649199,36.5414047206064,201,1,6
