n,gamma,k,seed,alpha,beta,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,2,0.45,0.7,t_copula06,Mixed,2138.82883703772,2801.95017747948,1527.61721379614,1526.88733691323,1347.17225638163,120.138253017489,121,57,4
60,0.5,30,2,0.45,0.7,adverse,Nominal,3213.8362568541,2667.09259948681,1220.36898354451,1220.36898354451,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,adverse,CR-SHP,2667.09259948681,2667.09259948681,1220.36898354451,1220.36898354451,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,adverse,CVaR-CR-SHP,1877.02795099748,2105.75982788005,1736.94110412935,1736.94110412935,1736.94110412935,561.332771606761,121,57,22
60,0.5,30,2,0.45,0.7,adverse,Mixed,2138.82883703772,2569.57004885356,1347.17225638163,1347.17225638163,1347.17225638163,97.5225506332522,121,57,4
60,0.5,30,3,0.45,0.7,independent,Nominal,3277.29914991431,3274.92384068357,2943.06088351532,2955.47258720673,2688.75311690588,0,121,56,0
60,0.5,30,3,0.45,0.7,independent,CR-SHP,2700.3831740984,3274.92384068357,2943.06088351532,2955.47258720673,2688.75311690588,0,121,56,0
60,0.5,30,3,0.45,0.7,independent,CVaR-CR-SHP,1855.11782628937,2936.93904662841,2697.62389702553,2717.10089473636,2461.16084423506,337.984794055161,121,56,9
60,0.5,30,3,0.45,0.7,independent,Mixed,2151.76449323829,3166.11445349239,2860.75505756441,2881.3198810477,2624.63281080511,108.809387191177,121,56,3
60,0.5,30,3,0.45,0.7,gaussian06,Nominal,3277.29914991431,2997.86400945505,1463.06673745142,1445.60483375856,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,gaussian06,CR-SHP,2700.3831740984,2997.86400945505,1463.06673745142,1445.60483375856,1294.8009302751,0,121,56,0
60,0.5,30,3,0.45,0.7,gaussian06,CVaR-CR-SHP,1855.11782628937,2718.88764119785,1657.40287459019,1647.70278410028,1518.04582290319,278.976368257202,121,56,9
60,0.5,30,3,0.45,0.7,gaussian06,Mixed,2151.76449323829,2909.09878477123,1547.95269148261,1533.48157952235,1392.30171051927,88.7652246838165,121,56,3
60,0.5,30,3,0.45,0.7,comonotone,Nominal,3277.29914991431,2748.46540699791,1294.8009302751,1294.8009302751,1294.8009302751,0,121,56,0
