beta,alpha,seed,model,selectedCount,tailSupport,testMean,cvar10,q05,worst
0.6,0.4,3,Nominal,0,47,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.4,3,CR-SHP,0,47,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.4,3,CVaR-CR-SHP,0,47,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.4,3,Mixed,0,47,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.45,1,Nominal,0,45,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.45,1,CR-SHP,0,45,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.45,1,CVaR-CR-SHP,0,45,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.45,1,Mixed,0,45,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.45,2,Nominal,0,45,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.45,2,CR-SHP,0,45,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.45,2,CVaR-CR-SHP,0,45,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.45,2,Mixed,0,45,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.45,3,Nominal,0,50,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.45,3,CR-SHP,0,50,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.45,3,CVaR-CR-SHP,0,50,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.45,3,Mixed,0,50,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.5,1,Nominal,0,52,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.5,1,CR-SHP,0,52,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.5,1,CVaR-CR-SHP,0,52,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.5,1,Mixed,0,52,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.5,2,Nominal,0,52,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.5,2,CR-SHP,0,52,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.5,2,CVaR-CR-SHP,0,52,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.5,2,Mixed,0,52,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.5,3,Nominal,0,51,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.5,3,CR-SHP,0,51,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.5,3,CVaR-CR-SHP,0,51,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.5,3,Mixed,0,51,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.65,0.3,1,Nominal,0,24,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.65,0.3,1,CR-SHP,0,24,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.65,0.3,1,CVaR-CR-SHP,25,24,1425.31232566738,1425.31232566738,1425.31232566738,1425.31232566738
0.65,0.3,1,Mixed,0,24,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.65,0.3,2,Nominal,0,17,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.65,0.3,2,CR-SHP,0,17,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.65,0.3,2,CVaR-CR-SHP,25,17,1379.42221410165,1379.42221410165,1379.42221410165,1379.42221410165
0.65,0.3,2,Mixed,0,17,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.65,0.3,3,Nominal,0,27,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
