n,k,alpha,seed,chainSupport,tailSupport,directValue,truncatedValue,objectiveDiff,relativeDiff,setOverlap,directTime,truncBuildTime,truncatedTime
14,7,0.1,2,29,1,521.048192194257,521.048192194257,0,0,1,0.4669671,2.02e-05,0.2264528
14,7,0.1,3,29,1,544.946221495989,544.946221495989,0,0,1,0.4664625,1.96e-05,0.2247121
14,7,0.1,4,29,1,632.110944195618,632.110944195618,0,0,1,0.4676262,2.36e-05,0.2222332
14,7,0.1,5,29,1,577.342418361117,577.342418361117,0,0,1,0.4649481,1.96e-05,0.226681
14,7,0.1,6,29,1,551.308903272693,551.308903272693,0,0,1,0.4921682,1.96e-05,0.2233298
14,7,0.1,7,29,1,578.014521200584,578.014521200584,0,0,1,0.4637934,2e-05,0.223323
14,7,0.1,8,29,1,576.588543753244,576.588543753244,0,0,1,0.4737988,1.99e-05,0.2248898
14,7,0.2,1,29,2,508.280629860556,508.280629860556,0,0,1,0.4888774,2.4e-05,0.2301272
14,7,0.2,2,29,2,521.048192194257,521.048192194257,0,0,1,0.4710265,2.3e-05,0.22973
14,7,0.2,3,29,2,544.946221495989,544.946221495989,0,0,1,0.4713427,2.88e-05,0.2333709
14,7,0.2,4,29,2,632.110944195618,632.110944195618,0,0,1,0.4675812,2.69e-05,0.2321938
14,7,0.2,5,29,1,577.342418361117,577.342418361117,0,0,1,0.4632298,1.99e-05,0.2233871
14,7,0.2,6,29,2,551.308903272693,551.308903272693,0,0,1,0.4635402,2.94e-05,0.2325613
14,7,0.2,7,29,1,578.014521200584,578.014521200584,0,0,1,0.4663804,4.78e-05,0.2209279
14,7,0.2,8,29,2,576.588543753244,576.588543753244,0,0,1,0.4764431,3.19e-05,0.2360481
16,8,0.05,1,33,1,593.386062230305,593.386062230305,0,0,1,2.117317,2.29e-05,0.9982981
16,8,0.05,2,33,1,599.354928807771,599.354928807771,0,0,1,2.1076109,2.81e-05,0.9891455
16,8,0.05,3,33,1,628.735296078628,628.735296078628,0,0,1,2.1843959,3.07e-05,1.0024951
16,8,0.05,4,33,1,727.739782974777,727.739782974777,0,0,1,2.0988161,6.73e-05,1.0366267
16,8,0.05,5,33,1,647.523845236084,647.523845236084,0,0,1,2.1271118,2.01e-05,1.0205605
16,8,0.05,6,33,1,672.494334193924,672.494334193924,0,0,1,2.1112788,2.13e-05,1.0054515
16,8,0.05,7,33,1,669.852721095413,669.852721095413,0,0,1,2.1419964,1.93e-05,1.0089601
16,8,0.05,8,33,1,662.495238983048,662.495238983048,0,0,1,2.1034575,2.53e-05,0.9951493
16,8,0.1,1,33,1,593.386062230305,593.386062230305,0,0,1,2.1459928,1.93e-05,1.0045539
16,8,0.1,2,33,1,599.354928807771,599.354928807771,0,0,1,2.114273,1.92e-05,1.0096411
16,8,0.1,3,33,1,628.735296078628,628.735296078628,0,0,1,2.184685,2e-05,1.0204808
16,8,0.1,4,33,1,727.739782974777,727.739782974777,0,0,1,2.0993035,2.02e-05,0.9999737
16,8,0.1,5,33,1,647.523845236084,647.523845236084,0,0,1,2.1442581,1.91e-05,1.0260312
16,8,0.1,6,33,1,672.494334193924,672.494334193924,0,0,1,2.1210281,1.95e-05,1.0002098
16,8,0.1,7,33,1,669.852721095413,669.852721095413,0,0,1,2.1371682,2.3e-05,1.0232985
16,8,0.1,8,33,1,662.495238983048,662.495238983048,0,0,1,2.0969792,2.2e-05,0.990464
16,8,0.2,1,33,1,593.386062230305,593.386062230305,0,0,1,2.1650153,2.04e-05,1.0013842
16,8,0.2,2,33,1,599.354928807771,599.354928807771,0,0,1,2.1166116,2.06e-05,1.0077077
16,8,0.2,3,33,2,628.735296078628,628.735296078628,0,0,1,2.1245568,2.3e-05,1.0393016
16,8,0.2,4,33,2,727.739782974777,727.739782974777,0,0,1,2.1005996,2.85e-05,1.0316913
16,8,0.2,5,33,4,647.523845236084,647.523845236084,0,0,1,2.1366192,2.53e-05,1.0799597
16,8,0.2,6,33,3,672.494334193924,672.494334193924,0,0,1,2.140053,2.32e-05,1.0685877
16,8,0.2,7,33,1,669.852721095413,669.852721095413,0,0,1,2.1184469,2.06e-05,1.0218957
16,8,0.2,8,33,2,662.495238983048,662.495238983048,0,0,1,2.0990397,2.25e-05,1.0310166
