n,gamma,k,seed,beta,alpha,lambda,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,6,1.05,0.75,0.75,independent,CVaR-CR-SHP,2821.1192778816,2977.2439812945,2931.08845831639,2934.70834559775,2881.93923596389,388.603469089342,121,112,26
60,0.5,30,6,1.05,0.75,0.75,independent,Mixed,2880.41681314918,3180.33518842813,3066.05126833055,3073.65535980643,2926.86020744302,185.512261955717,121,112,19
60,0.5,30,6,1.05,0.75,0.75,gaussian06,Nominal,3369.00867649965,3087.38592337424,1802.10607160051,1789.6710333421,1636.80797815182,0,121,112,4
60,0.5,30,6,1.05,0.75,0.75,gaussian06,CR-SHP,2927.30307621599,3078.66566088112,2361.15596949023,2349.99770126137,2243.66176882227,8.72026249312103,121,112,16
60,0.5,30,6,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2821.1192778816,2931.84596112953,2724.95489836907,2727.41291021491,2671.50159565753,155.539962244707,121,112,26
60,0.5,30,6,1.05,0.75,0.75,gaussian06,Mixed,2880.41681314918,3046.57871399204,2480.76194675962,2467.58867191385,2382.41115647417,40.8072093821988,121,112,19
60,0.5,30,6,1.05,0.75,0.75,comonotone,Nominal,3369.00867649965,2925.61746240987,1636.80797815182,1636.80797815182,1636.80797815182,30.0749288810648,121,112,4
60,0.5,30,6,1.05,0.75,0.75,comonotone,CR-SHP,2927.30307621599,2955.69239129093,2243.66176882227,2243.66176882227,2243.66176882227,0,121,112,16
60,0.5,30,6,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2821.1192778816,2879.14853196625,2671.50159565753,2671.50159565753,2671.50159565753,76.5438593246877,121,112,26
60,0.5,30,6,1.05,0.75,0.75,comonotone,Mixed,2880.41681314918,2942.47512899698,2382.41115647417,2382.41115647417,2382.41115647417,13.2172622939479,121,112,19
60,0.5,30,6,1.05,0.75,0.75,t_copula06,Nominal,3369.00867649965,3132.27395256366,1818.0732560145,1814.8744704795,1636.80797815182,0,121,112,4
60,0.5,30,6,1.05,0.75,0.75,t_copula06,CR-SHP,2927.30307621599,3103.96109697652,2375.06444904848,2378.50086393561,2243.66176882227,28.312855587139,121,112,16
60,0.5,30,6,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2821.1192778816,2938.67970251433,2733.474924562,2740.64217475747,2671.50159565753,193.594250049327,121,112,26
60,0.5,30,6,1.05,0.75,0.75,t_copula06,Mixed,2880.41681314918,3067.63339328739,2494.35029854177,2497.30612079411,2382.41115647417,64.6405592762621,121,112,19
60,0.5,30,6,1.05,0.75,0.75,adverse,Nominal,3369.00867649965,2867.95845948336,1636.80797815182,1636.80797815182,1636.80797815182,59.3446167326224,121,112,4
60,0.5,30,6,1.05,0.75,0.75,adverse,CR-SHP,2927.30307621599,2927.30307621599,2243.66176882227,2243.66176882227,2243.66176882227,0,121,112,16
60,0.5,30,6,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2821.1192778816,2870.5572956271,2671.50159565753,2671.50159565753,2671.50159565753,56.7457805888907,121,112,26
60,0.5,30,6,1.05,0.75,0.75,adverse,Mixed,2880.41681314918,2919.49466826172,2382.41115647417,2382.41115647417,2382.41115647417,7.80840795426229,121,112,19
