n,gamma,k,seed,beta,alpha,lambda,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,8,1.05,0.75,0.75,adverse,Mixed,2841.92660516986,2866.21911308323,2542.70095506993,2542.70095506993,2542.70095506993,11.4239195730997,121,111,23
60,0.5,30,9,1.05,0.75,0.75,independent,Nominal,3353.51031928684,3347.52373766601,3041.72042423233,3065.39944152854,2705.31380361215,0,121,100,5
60,0.5,30,9,1.05,0.75,0.75,independent,CR-SHP,2876.59638515274,3265.0619433228,3060.65605346347,3071.33845870779,2849.18824847844,82.4617943432104,121,100,15
60,0.5,30,9,1.05,0.75,0.75,independent,CVaR-CR-SHP,2781.06373386848,2834.0481053369,2821.02054974483,2820.16836422634,2810.33355413206,513.475632329109,121,100,29
60,0.5,30,9,1.05,0.75,0.75,independent,Mixed,2835.35549441303,3154.42603255075,3025.94248741525,3035.28671892772,2848.99683506739,193.09770511526,121,100,21
60,0.5,30,9,1.05,0.75,0.75,gaussian06,Nominal,3353.51031928684,3124.81397330299,1867.04432896683,1855.51121632238,1746.16760004473,0,121,100,5
60,0.5,30,9,1.05,0.75,0.75,gaussian06,CR-SHP,2876.59638515274,3093.25610136534,2324.42780577709,2314.00875647869,2240.99985367128,31.5578719376522,121,100,15
60,0.5,30,9,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2781.06373386848,2821.78118179206,2761.23769921658,2766.71161495216,2744.70499804514,303.032791510933,121,100,29
60,0.5,30,9,1.05,0.75,0.75,gaussian06,Mixed,2835.35549441303,3027.78917824449,2527.4996211877,2523.22326754736,2464.86698522853,97.0247950584981,121,100,21
60,0.5,30,9,1.05,0.75,0.75,comonotone,Nominal,3353.51031928684,2863.36790995203,1746.16760004473,1746.16760004473,1746.16760004473,34.0780006811488,121,100,5
60,0.5,30,9,1.05,0.75,0.75,comonotone,CR-SHP,2876.59638515274,2897.44591063317,2240.99985367128,2240.99985367128,2240.99985367128,0,121,100,15
60,0.5,30,9,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2781.06373386848,2797.00243517764,2744.70499804514,2744.70499804514,2744.70499804514,100.443475455531,121,100,29
60,0.5,30,9,1.05,0.75,0.75,comonotone,Mixed,2835.35549441303,2879.62039054937,2464.86698522853,2464.86698522853,2464.86698522853,17.8255200838075,121,100,21
60,0.5,30,9,1.05,0.75,0.75,t_copula06,Nominal,3353.51031928684,3119.96150345451,1885.81684361144,1877.83976195856,1746.16760004473,0,121,100,5
60,0.5,30,9,1.05,0.75,0.75,t_copula06,CR-SHP,2876.59638515274,3090.44202355496,2337.23811943731,2334.28200525807,2240.99985367128,29.5194798995544,121,100,15
60,0.5,30,9,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2781.06373386848,2821.83386638756,2762.24317102785,2766.71161495216,2744.70499804514,298.127637066953,121,100,29
60,0.5,30,9,1.05,0.75,0.75,t_copula06,Mixed,2835.35549441303,3026.06665979604,2535.45933761893,2537.28666701273,2464.86698522853,93.8948436584697,121,100,21
60,0.5,30,9,1.05,0.75,0.75,adverse,Nominal,3353.51031928684,2836.64324635262,1746.16760004473,1746.16760004473,1746.16760004473,39.9531388001246,121,100,5
60,0.5,30,9,1.05,0.75,0.75,adverse,CR-SHP,2876.59638515274,2876.59638515274,2240.99985367128,2240.99985367128,2240.99985367128,0,121,100,15
60,0.5,30,9,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2781.06373386848,2795.36504282527,2744.70499804514,2744.70499804514,2744.70499804514,81.2313423274654,121,100,29
60,0.5,30,9,1.05,0.75,0.75,adverse,Mixed,2835.35549441303,2867.77435831226,2464.86698522853,2464.86698522853,2464.86698522853,8.82202684048298,121,100,21
60,0.5,30,10,1.05,0.75,0.75,independent,Nominal,3318.33683313862,3311.05437565619,3031.45618789572,3044.76722658195,2723.23578604463,0,121,109,4
60,0.5,30,10,1.05,0.75,0.75,independent,CR-SHP,2841.20508620998,3170.00165373664,3026.27147152315,3038.58104403835,2839.64460890662,141.05272191955,121,109,17
60,0.5,30,10,1.05,0.75,0.75,independent,CVaR-CR-SHP,2761.55487742335,2844.22592711532,2830.18959312915,2831.25048988973,2813.53099996121,466.828448540871,121,109,28
60,0.5,30,10,1.05,0.75,0.75,independent,Mixed,2805.4489372316,3054.95657021235,2974.83072662851,2985.90653472006,2822.56617517668,256.097805443844,121,109,22
60,0.5,30,10,1.05,0.75,0.75,gaussian06,Nominal,3318.33683313862,3053.38757397637,1794.27320859591,1795.0447613955,1640.961964165,0,121,109,4
60,0.5,30,10,1.05,0.75,0.75,gaussian06,CR-SHP,2841.20508620998,3005.80822942818,2352.16808102436,2353.19883488549,2263.33333050337,47.5793445481886,121,109,17
60,0.5,30,10,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2761.55487742335,2824.18970333997,2725.70844073584,2725.09651431724,2706.86018687882,229.197870636396,121,109,28
60,0.5,30,10,1.05,0.75,0.75,gaussian06,Mixed,2805.4489372316,2951.29828692975,2537.61959337781,2535.75288216154,2486.60691740616,102.089287046616,121,109,22
60,0.5,30,10,1.05,0.75,0.75,comonotone,Nominal,3318.33683313862,2814.54835145427,1640.961964165,1640.961964165,1640.961964165,38.0500082445265,121,109,4
60,0.5,30,10,1.05,0.75,0.75,comonotone,CR-SHP,2841.20508620998,2852.5983596988,2263.33333050337,2263.33333050337,2263.33333050337,0,121,109,17
60,0.5,30,10,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2761.55487742335,2786.32255743736,2706.86018687882,2706.86018687882,2706.86018687882,66.2758022614403,121,109,28
60,0.5,30,10,1.05,0.75,0.75,comonotone,Mixed,2805.4489372316,2837.40440975837,2486.60691740616,2486.60691740616,2486.60691740616,15.1939499404339,121,109,22
60,0.5,30,10,1.05,0.75,0.75,t_copula06,Nominal,3318.33683313862,3056.93059588485,1764.85213860307,1751.87239470765,1640.961964165,0,121,109,4
60,0.5,30,10,1.05,0.75,0.75,t_copula06,CR-SHP,2841.20508620998,3009.1967364785,2339.95649891946,2334.40145705013,2263.33333050337,47.7338594063476,121,109,17
60,0.5,30,10,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2761.55487742335,2824.64253066372,2724.90306736422,2725.09651431724,2706.86018687882,232.288065221135,121,109,28
60,0.5,30,10,1.05,0.75,0.75,t_copula06,Mixed,2805.4489372316,2953.90445713684,2531.30649911004,2523.0679428438,2486.60691740616,103.026138748008,121,109,22
60,0.5,30,10,1.05,0.75,0.75,adverse,Nominal,3318.33683313862,2795.87952729204,1640.961964165,1640.961964165,1640.961964165,45.3255589179407,121,109,4
60,0.5,30,10,1.05,0.75,0.75,adverse,CR-SHP,2841.20508620998,2841.20508620998,2263.33333050337,2263.33333050337,2263.33333050337,0,121,109,17
60,0.5,30,10,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2761.55487742335,2783.75496930679,2706.86018687882,2706.86018687882,2706.86018687882,57.4501169031928,121,109,28
60,0.5,30,10,1.05,0.75,0.75,adverse,Mixed,2805.4489372316,2829.63281898778,2486.60691740616,2486.60691740616,2486.60691740616,11.5722672222009,121,109,22
