n,gamma,testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_supportCR,mean_supportTail
100,0.2,gaussian06,Mixed,8,2295.1399537548,1567.3038090109,1568.27151157727,1430.52930495803,113.87342995304,201,1
100,0.2,gaussian06,Nominal,8,2409.01338370784,1345.11252433721,1343.03724802917,1154.92618431841,0,201,1
100,0.2,independent,CR-SHP,8,2668.43854491954,2520.41263110891,2530.49642993996,2321.34527880737,0,201,1
100,0.2,independent,CVaR-CR-SHP,8,1812.40066380865,1812.40066380866,1812.40066380866,1812.40066380866,856.037881110896,201,1
100,0.2,independent,Mixed,8,2475.65210279738,2365.54953854301,2373.36707822771,2227.23353628904,192.786442122163,201,1
100,0.2,independent,Nominal,8,2668.43854491954,2520.41263110891,2530.49642993996,2321.34527880737,0,201,1
100,0.2,t_copula06,CR-SHP,8,2418.6265188596,1345.82019045479,1345.24140799444,1154.92618431841,0,201,1
100,0.2,t_copula06,CVaR-CR-SHP,8,1812.40066380865,1812.40066380866,1812.40066380866,1812.40066380866,606.225855050952,201,1
100,0.2,t_copula06,Mixed,8,2302.73228026182,1569.93597192891,1572.94332687991,1430.52930495803,115.894238597774,201,1
100,0.2,t_copula06,Nominal,8,2418.6265188596,1345.82019045479,1345.24140799444,1154.92618431841,0,201,1
100,0.5,adverse,CR-SHP,8,4621.22181858416,2509.63675370914,2509.63675370914,2509.63675370914,0,201,1
100,0.5,adverse,CVaR-CR-SHP,8,4151.02319309458,4151.02319309458,4151.02319309458,4151.02319309458,470.198625489578,201,1
100,0.5,adverse,Mixed,8,4406.45132132616,3789.24416682108,3789.24416682108,3789.24416682108,214.770497257998,201,1
100,0.5,adverse,Nominal,8,4616.58421567094,2300.01632809676,2300.01632809676,2300.01632809676,4.63760291321478,201,1
100,0.5,comonotone,CR-SHP,8,4653.19291324468,2509.63675370914,2509.63675370914,2509.63675370914,0,201,1
100,0.5,comonotone,CVaR-CR-SHP,8,4151.02319309459,4151.02319309458,4151.02319309458,4151.02319309458,502.169720150088,201,1
100,0.5,comonotone,Mixed,8,4423.81114445582,3789.24416682108,3789.24416682108,3789.24416682108,229.381768788852,201,1
100,0.5,comonotone,Nominal,8,4650.21411945328,2300.01632809676,2300.01632809676,2300.01632809676,2.97879379139715,201,1
100,0.5,gaussian06,CR-SHP,8,5041.87914685561,2784.86209797216,2781.68352170276,2509.63675370914,13.6559515148288,201,1
100,0.5,gaussian06,CVaR-CR-SHP,8,4151.02319309459,4151.02319309458,4151.02319309458,4151.02319309458,904.511905275849,201,1
100,0.5,gaussian06,Mixed,8,4623.82585078999,3888.33417682347,3885.83939671149,3789.24416682108,431.70924758045,201,1
100,0.5,gaussian06,Nominal,8,5055.53509837044,2596.13892244756,2593.84851721374,2300.01632809676,0,201,1
100,0.5,independent,CR-SHP,8,5495.07846077446,5107.89112916582,5135.25379932365,4660.73473633509,36.3132778109766,201,1
100,0.5,independent,CVaR-CR-SHP,8,4151.02319309459,4151.02319309458,4151.02319309458,4151.02319309458,1380.36854549085,201,1
100,0.5,independent,Mixed,8,4821.90519768077,4682.47243565937,4693.50231233343,4485.67991501658,709.486540904668,201,1
100,0.5,independent,Nominal,8,5531.39173858544,5115.85295444232,5145.18160496766,4620.16269945995,0,201,1
100,0.5,t_copula06,CR-SHP,8,5057.76348547615,2778.012442174,2771.80835623833,2509.63675370914,13.7107288206265,201,1
100,0.5,t_copula06,CVaR-CR-SHP,8,4151.02319309459,4151.02319309458,4151.02319309458,4151.02319309458,920.451021202184,201,1
100,0.5,t_copula06,Mixed,8,4633.57867902449,3890.36535007194,3887.95199212919,3789.24416682108,437.895535272278,201,1
100,0.5,t_copula06,Nominal,8,5071.47421429677,2587.99845711729,2581.21250581467,2300.01632809676,0,201,1
