n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
200,0.2,40,1,t_copula06,Nominal,4473.36248570341,4239.68791591252,3127.62346553269,3139.3164220077,2853.32511829099,0,401,4,0
200,0.2,40,1,t_copula06,CR-SHP,3970.03029939408,4239.68791591252,3127.62346553269,3139.3164220077,2853.32511829099,0,401,4,0
200,0.2,40,1,t_copula06,CVaR-CR-SHP,2886.3993989525,2886.39939895259,2886.39939895249,2886.3993989525,2886.3993989525,1353.28851695993,401,4,40
200,0.2,40,1,t_copula06,Mixed,3668.14070651841,4239.68791591252,3127.62346553269,3139.3164220077,2853.32511829099,0,401,4,0
200,0.2,40,2,independent,Nominal,4438.57858446223,4438.54045077411,4269.27572403316,4277.32506540712,4090.64902126213,0,401,4,0
200,0.2,40,2,independent,CR-SHP,3880.84919868256,4438.54045077411,4269.27572403316,4277.32506540712,4090.64902126213,0,401,4,0
200,0.2,40,2,independent,CVaR-CR-SHP,2825.08753716397,4438.54045077411,4269.27572403316,4277.32506540712,4090.64902126213,0,401,4,0
200,0.2,40,2,independent,Mixed,3631.8330608131,4438.54045077411,4269.27572403316,4277.32506540712,4090.64902126213,0,401,4,0
200,0.2,40,2,gaussian06,Nominal,4438.57858446223,4172.6703709021,3053.00131123612,3056.20968357076,2821.3250288635,0,401,4,0
200,0.2,40,2,gaussian06,CR-SHP,3880.84919868256,4172.6703709021,3053.00131123612,3056.20968357076,2821.3250288635,0,401,4,0
200,0.2,40,2,gaussian06,CVaR-CR-SHP,2825.08753716397,4172.6703709021,3053.00131123612,3056.20968357076,2821.3250288635,0,401,4,0
200,0.2,40,2,gaussian06,Mixed,3631.8330608131,4172.6703709021,3053.00131123612,3056.20968357076,2821.3250288635,0,401,4,0
200,0.2,40,2,comonotone,Nominal,4438.57858446223,3900.06949453902,2821.3250288635,2821.3250288635,2821.3250288635,0,401,4,0
200,0.2,40,2,comonotone,CR-SHP,3880.84919868256,3900.06949453902,2821.3250288635,2821.3250288635,2821.3250288635,0,401,4,0
200,0.2,40,2,comonotone,CVaR-CR-SHP,2825.08753716397,3900.06949453902,2821.3250288635,2821.3250288635,2821.3250288635,0,401,4,0
200,0.2,40,2,comonotone,Mixed,3631.8330608131,3900.06949453902,2821.3250288635,2821.3250288635,2821.3250288635,0,401,4,0
200,0.2,40,2,t_copula06,Nominal,4438.57858446223,4193.95163451898,3040.50030733198,3042.64600919499,2821.3250288635,0,401,4,0
200,0.2,40,2,t_copula06,CR-SHP,3880.84919868256,4193.95163451898,3040.50030733198,3042.64600919499,2821.3250288635,0,401,4,0
200,0.2,40,2,t_copula06,CVaR-CR-SHP,2825.08753716397,4193.95163451898,3040.50030733198,3042.64600919499,2821.3250288635,0,401,4,0
200,0.2,40,2,t_copula06,Mixed,3631.8330608131,4193.95163451898,3040.50030733198,3042.64600919499,2821.3250288635,0,401,4,0
200,0.2,40,3,independent,Nominal,4535.21729852111,4533.88857183313,4353.82456702371,4365.78434114108,4172.28972942554,0,401,2,0
200,0.2,40,3,independent,CR-SHP,3959.34799587087,4533.88857183313,4353.82456702371,4365.78434114108,4172.28972942554,0,401,2,0
200,0.2,40,3,independent,CVaR-CR-SHP,2909.37559011812,4533.88857183313,4353.82456702371,4365.78434114108,4172.28972942554,0,401,2,0
200,0.2,40,3,independent,Mixed,3722.29644431962,4533.88857183313,4353.82456702371,4365.78434114108,4172.28972942554,0,401,2,0
